web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,nombre_chambre,nombre_salle_bain,superficie,adresse,ville,prix,image_link-src
"1707690655-129","https://www.expat-dakar.com/appartements-meubles?page=85","Chambres meublées sicap foire

Sicap foire,
Dakar

21. juin '23, 12:03

15 000 F Cfa

766874680

761418454","https://www.expat-dakar.com/annonce/chambres-meublees-sicap-foire-5344172","Chambres meublées sicap foire","","1","","Sicap foire","Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/60bf1d154efd2bb424da4afdb7887681/-/horizon-files-prod/ed/picture/qwem7v0d/01449eef92a1e85d3e30d559beee6a2eb72b4801.jpg"
"1707690657-130","https://www.expat-dakar.com/appartements-meubles?page=85","Chambre meublée à Ouest foire
1 chambre10 m²
Yoff,
Dakar

24. juin '23, 13:16

15 000 F Cfa

779500087

762843939","https://www.expat-dakar.com/annonce/chambre-meublee-a-ouest-foire-3614611","Chambre meublée à Ouest foire","1","1","10 m²","Yoff","Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/54c9e7ee6e1ce097d6150082e58b6995/-/horizon-files-prod/ed/picture/qxmqxpz/d45c0fb4059662937667d6336ac1e8c1af82f971.jpg"
"1707690660-131","https://www.expat-dakar.com/appartements-meubles?page=85","Bel appartement meublé/ mamelles

Mamelles,
Dakar

1. juil. '23, 02:38

45 000 F Cfa

784403914","https://www.expat-dakar.com/annonce/bel-appartement-meuble-mamelles-5520902","Bel appartement meublé/ mamelles","","","","Mamelles","Dakar","45 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1990c35593bedc5aaf40fa6e7b10e8b9/-/horizon-files-prod/ed/picture/qv445x8p/38a80f104d3fa7b099df15779bb8c471a496e158.jpg"
"1707690662-132","https://www.expat-dakar.com/appartements-meubles?page=85","Joli Studio avec terrasse privée aux Almadies
1 chambre150 m²
Almadies,
Dakar

1. juil. '23, 13:44

30 000 F Cfa

784574920","https://www.expat-dakar.com/annonce/joli-studio-avec-terrasse-privee-aux-almadies-3723593","Joli Studio avec terrasse privée aux Almadies","1","2","150 m²","Almadies","Dakar","30 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0d64e65d76a8c3216102a16853214637/-/horizon-files-prod/ed/picture/qnvmvj9/2c64d25e77b86d8cb52a9652176ce55fb8dee70b.jpg"
"1707690665-133","https://www.expat-dakar.com/appartements-meubles?page=85","Appartement meublé Mbour, Saly
2 chambre
Mbour,
Thiès

1. juil. '23, 15:38

30 000 F Cfa

773858720","https://www.expat-dakar.com/annonce/appartement-meuble-mbour-saly-5573330","Appartement meublé Mbour, Saly","2","2","","Mbour","Thiès","30 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a24171414a57187cf7950800f9b8ee82/-/horizon-files-prod/ed/picture/q8vvwg54/5a4845372d83c1a715d644b01e3d84caf4753ffd.jpg"
"1707690667-134","https://www.expat-dakar.com/appartements-meubles?page=85","Superbe appartement meublé f4 sis au virage.
3 chambre147 m²
Virage,
Dakar

20. nov. '23, 13:11

700 000 F Cfa

776374549

772801780","https://www.expat-dakar.com/annonce/superbe-appartement-meuble-f4-sis-au-virage-5784083","Superbe appartement meublé f4 sis au virage.","3","3","147 m²","Virage","Dakar","700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/da98fd9be193e3df6963204ddaf7f3ab/-/horizon-files-prod/ed/picture/q2jrv0ne/9c20acadb1db01908c297b3b99837e6b681ec0a4.jpg"
"1707690670-135","https://www.expat-dakar.com/appartements-meubles?page=85","Appartement à la Corniche
2 chambre80 m²
Mamelles,
Dakar

5. juil. '23, 06:55

60 000 F Cfa

763404278

+33787221859","https://www.expat-dakar.com/annonce/appartement-a-la-corniche-5444210","Appartement à la Corniche","2","25","80 m²","Mamelles","Dakar","60 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8269f55c02a4f5aa401ab48c518591c7/-/horizon-files-prod/ed/picture/qrzzrnjq/04f3e96bdbf964a5098b9ccbd431b4a3a79362cf.jpg"
"1707690672-136","https://www.expat-dakar.com/appartements-meubles?page=85","Appartement meublé à louer à Fass
2 chambre100 m²
Gueule-Tapée,
Dakar

5. juil. '23, 08:44

25 000 F Cfa

777207630

779275098","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-a-fass-2757099","Appartement meublé à louer à Fass","2","1","100 m²","Gueule-Tapée","Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a72cf8f93576ed2c2a419c67122d0262/-/horizon-files-prod/ed/picture/qxz75xm/cdddcc43265f328744c0171984a52b56a36ba1a3.jpg"
"1707690675-137","https://www.expat-dakar.com/appartements-meubles?page=85","APPAREMMENT MEUBLE TRES LUXE
2 chambre150 m²
Sacré-cœur,
Dakar

5. juil. '23, 12:59

Vendeur vérifié

1 000 000 F Cfa

776617765","https://www.expat-dakar.com/annonce/apparemment-meuble-tres-luxe-5688208","APPAREMMENT MEUBLE TRES LUXE","2","2","150 m²","Sacré-cœur","Dakar","1 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f020ea0c9604bad807dc13be24dff69f/-/horizon-files-prod/ed/picture/q8vzp4nj/d85b376722b87a7f9593b81b91bde95959c5491a.jpg"
"1707690680-138","https://www.expat-dakar.com/appartements-meubles?page=84","Studio meublé ouakam
1 chambre50 m²
Ouakam,
Dakar

13. janv., 13:29

16 000 F Cfa

774009124","https://www.expat-dakar.com/annonce/studio-meuble-ouakam-5785506","Studio meublé ouakam","1","1","50 m²","Ouakam","Dakar","16 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/72ecba18c1216b7192ed2ab3aaf6b832/-/horizon-files-prod/ed/picture/qwezxn85/7be97e99f684d14b343f8d2fe0b08236de6b7fec.jpg"
"1707690683-139","https://www.expat-dakar.com/appartements-meubles?page=84","Studio meublé à Louer Mermoz
1 chambre
Mermoz,
Dakar

lundi, 08:59

Vendeur vérifié

750 000 F Cfa

784507474","https://www.expat-dakar.com/annonce/studio-meuble-a-louer-mermoz-5785638","Studio meublé à Louer Mermoz","1","2","","Mermoz","Dakar","750 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d049921971721da045d15b6ed3ecf037/-/horizon-files-prod/ed/picture/qpdw9neq/44c6a3beed27c69cd6ef65e5642a26ce27d21a92.jpg"
"1707690686-140","https://www.expat-dakar.com/appartements-meubles?page=84","Studio meublé au Mariste

Hann maristes,
Dakar

6. juil. '23, 15:30

30 000 F Cfa

778100420","https://www.expat-dakar.com/annonce/studio-meuble-au-mariste-5462687","Studio meublé au Mariste","","","","Hann maristes","Dakar","30 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/575cc143fab9f52fe5f9ed14c0bf1bd7/-/horizon-files-prod/ed/picture/qzvvr26g/09c369187e28619473d36d1e5746bacb1c614b29.jpg"
"1707690688-141","https://www.expat-dakar.com/appartements-meubles?page=84","Chambre meublée accès salon
3 chambre150 m²
Zone de captage,
Dakar

11. déc. '23, 14:15

12 500 F Cfa

773038182","https://www.expat-dakar.com/annonce/chambre-meublee-acces-salon-5787264","Chambre meublée accès salon","3","2","150 m²","Zone de captage","Dakar","12 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b5949020a132c94c82b22ad91a43bde3/-/horizon-files-prod/ed/picture/qen587q2/5ceb0be67cba9eac70e68fdfe61fab63d2058773.jpg"
"1707690691-142","https://www.expat-dakar.com/appartements-meubles?page=84","Appartement grand standing Zone B immeuble Sablux
3 chambre158 m²
Point-e,
Dakar

7. juil. '23, 16:04

90 000 F Cfa

771612730

776511612","https://www.expat-dakar.com/annonce/appartement-grand-standing-zone-b-immeuble-sablux-5378691","Appartement grand standing Zone B immeuble Sablux","3","4","158 m²","Point-e","Dakar","90 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5a855fc1d3cb856fb8985d6f08672b74/-/horizon-files-prod/ed/picture/q0gpm2mm/e1cafad8f8f181732717be6513af0a0a982ca3eb.jpg"
"1707690693-143","https://www.expat-dakar.com/appartements-meubles?page=84","Appartement meublé au Virage
3 chambre
Virage,
Dakar

7. juil. '23, 16:04

90 000 F Cfa

771612730

776511612","https://www.expat-dakar.com/annonce/appartement-meuble-au-virage-5303372","Appartement meublé au Virage","3","3","","Virage","Dakar","90 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1f3699fe922da1e5752ec56d6dd7dde5/-/horizon-files-prod/ed/picture/qwem0ekk/c9924f1b13b594eebfc59ff06322bdf5f084db7c.jpg"
"1707690695-144","https://www.expat-dakar.com/appartements-meubles?page=84","Chambre meublée
1 chambre
Ngor,
Dakar

7. juil. '23, 20:44

15 000 F Cfa

781718282

781718282","https://www.expat-dakar.com/annonce/chambre-meublee-5605094","Chambre meublée","1","1","","Ngor","Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7c705db20663ed3553863fe1ee9232be/-/horizon-files-prod/ed/picture/qweedk7m/95cd5dc3fc7456f955fbbc8776b420a011039c34.jpg"
"1707690698-145","https://www.expat-dakar.com/appartements-meubles?page=84","studio Ouakam corniche
1 chambre70 m²
Ouakam,
Dakar

10. juil. '23, 10:58

27 000 F Cfa

771184549","https://www.expat-dakar.com/annonce/studio-ouakam-corniche-5315231","studio Ouakam corniche","1","2","70 m²","Ouakam","Dakar","27 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/373b05947c8ffab1e16c3af55a3a056f/-/horizon-files-prod/ed/picture/q44j98zp/45f58e8ecc6afb394cffed121094b7e3edc1d122.jpg"
"1707690700-146","https://www.expat-dakar.com/appartements-meubles?page=84","Appartement à louer à saly
2 chambre1 m²
Saly,
Thiès

11. juil. '23, 11:43

50 000 F Cfa

785291334

764082741","https://www.expat-dakar.com/annonce/appartement-a-louer-a-saly-5404238","Appartement à louer à saly","2","2","1 m²","Saly","Thiès","50 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9ec2ce65a3cb715fa9867bdf42f15a3b/-/horizon-files-prod/ed/picture/qpddd7em/bd7a641506f763b588c7db7ba9f0fe2fe03c6322.jpg"
"1707690703-147","https://www.expat-dakar.com/appartements-meubles?page=84","Appartement meublé en location à la citè Alioune Sow

Guediawaye,
Dakar

13. juil. '23, 15:03

35 000 F Cfa

786036452","https://www.expat-dakar.com/annonce/appartement-meuble-en-location-a-la-cite-alioune-sow-5451466","Appartement meublé en location à la citè Alioune Sow","","","","Guediawaye","Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/308a9f87d757d52a05d49651e91b976f/-/horizon-files-prod/ed/picture/q6xxq0rg/7ff19760a380ef35a7fae38e6e2b230ff41fdc23.jpg"
